,P1,P2,P3,f1,f2
0,-0.04357043570435704,0.46095670956709567,39.1979845798458,0.0006880939809398095,0.005743573335733358
1,-0.03436734367343673,0.43063540635406355,38.98139741397414,0.000683569935699357,0.011144659346593465
2,-0.04941749417494175,0.43938349383493835,39.29017550175502,0.0005184942849428495,0.0020209081090810915
3,-0.04563145631456314,0.36101071010710106,38.89958659586596,0.0006080651806518065,0.007278576685766857
4,-0.04954549545495455,0.3811349113491135,38.87557135571356,0.0007465425654256543,0.004060784507845078
5,-0.04732447324473244,0.5056151561515614,39.11938379383794,0.0004889319893198932,0.005401045910459104
6,-0.05623856238562386,0.4183682836828368,38.958102181021815,0.0006329474294742948,0.014781419714197145
7,-0.053649536495364955,0.3785428854288543,39.1519791197912,0.00046502475024750255,0.007990931809318093
8,-0.04570545705457054,0.4194572945729457,39.06053820538206,0.0007132622326223263,0.010336935269352693
9,-0.04371443714437144,0.5468175681756817,39.098938589385895,0.0006613657136571367,0.006748223382233822
